,basic,basic,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,seq,rssi
,timestamp,tx_addr,ie0,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie32,ie33,ie34,ie35,ie36,ie37,ie38,ie39,ie40,ie41,ie42,ie43,ie44,ie46,ie48,ie50,ie127,ie221,seq,entrance
2,1689749644024,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,623,-81
4,1689749645988,067935F20539,,8c129824b048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000088400000040,,1781,-57
10,1689749647550,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3009,-64
26,1689749658409,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033,-70
33,1689749669227,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3057,-67
34,1689749670379,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1620,-84
43,1689749679832,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3081,-70
47,1689749680901,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,-77
63,1689749692734,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105,-64
